id,fecha,pronostico,temperatura_maxima,temperatura_minima,probabilidad_lluvia,viento_dia,direccion_viento_dia,viento_noche,direccion_viento_noche,humedad_dia_porcentaje,humedad_noche_porcentaje,indice_UV_dia,indice_UV_noche,amanecer,puesta_solar,salida_lunar,puesta_lunar,fase_lunar
107,jue 10,Mayormente soleado,39,26,1,18,ONO ,23,O ,25,31,Extremo,0 de 11,06:27:00,19:54:00,01:14:00,16:03:00,Cuarto menguante
108,vie 11,Parcialmente nublado,38,25,8,15,ONO ,25,O ,27,37,Extremo,0 de 11,06:27:00,19:53:00,01:59:00,17:01:00,Cuarto menguante
109,sab 12,Parcialmente nublado,37,24,9,14,O ,20,OSO ,31,42,Extremo,0 de 11,06:28:00,19:52:00,02:50:00,17:53:00,Cuarto menguante
110,dom 13,Mayormente soleado,37,25,16,9,S ,15,NO ,35,43,Extremo,0 de 11,06:29:00,19:51:00,03:45:00,18:38:00,Cuarto menguante
111,lun 14,Mayormente soleado,38,26,14,16,E ,19,E ,31,27,Extremo,0 de 11,06:29:00,19:50:00,04:42:00,19:18:00,Cuarto menguante
112,mar 15,Mayormente soleado,39,25,0,16,ESE ,16,ESE ,23,26,Extremo,0 de 11,06:30:00,19:49:00,05:40:00,19:52:00,Nueva
113,mie 16,Soleado,39,26,3,11,SE ,11,E ,24,25,Extremo,0 de 11,06:31:00,19:48:00,06:37:00,20:22:00,Nueva
114,jue 17,Soleado,40,26,3,12,SSE ,14,SE ,21,25,Extremo,0 de 11,06:31:00,19:47:00,07:33:00,20:49:00,Nueva visible
115,vie 18,Parcialmente nublado,40,26,4,12,SSO ,18,SSE ,22,27,Extremo,0 de 11,06:32:00,19:46:00,08:27:00,21:15:00,Nueva visible
116,sab 19,Parcialmente nublado,40,26,6,14,S ,17,SE ,23,28,Extremo,0 de 11,06:33:00,19:45:00,09:22:00,21:39:00,Nueva visible
117,dom 20,Parcialmente nublado,39,25,21,15,SE ,18,E ,25,30,Extremo,0 de 11,06:33:00,19:44:00,10:16:00,22:05:00,Nueva visible
118,lun 21,Parcialmente nublado,38,24,4,17,ESE ,19,E ,26,30,10 de 11,0 de 11,06:34:00,19:43:00,11:13:00,22:32:00,Nueva visible
119,mar 22,Parcialmente nublado,38,24,3,15,ESE ,18,E ,27,30,10 de 11,0 de 11,06:34:00,19:42:00,12:11:00,23:03:00,Nueva visible
120,mie 23,Mayormente soleado,38,24,9,17,ESE ,19,ESE ,26,32,10 de 11,0 de 11,06:35:00,19:40:00,13:13:00,23:40:00,Cuarto creciente
121,jue 10,Parcialmente nublado,39,26,15,18,ONO ,26,O ,27,31,Extremo,0 de 11,06:27:00,19:54:00,01:14:00,16:03:00,Cuarto menguante
122,vie 11,Parcialmente nublado,37,25,10,15,ONO ,27,O ,28,38,Extremo,0 de 11,06:27:00,19:53:00,01:59:00,17:01:00,Cuarto menguante
123,sab 12,Parcialmente nublado,36,24,2,15,O ,19,O ,33,40,Extremo,0 de 11,06:28:00,19:52:00,02:50:00,17:53:00,Cuarto menguante
124,dom 13,Parcialmente nublado,37,24,15,10,OSO ,14,NNO ,35,44,Extremo,0 de 11,06:29:00,19:51:00,03:45:00,18:38:00,Cuarto menguante
125,lun 14,Mayormente soleado,37,25,24,21,E ,22,ENE ,33,35,Extremo,0 de 11,06:29:00,19:50:00,04:42:00,19:18:00,Cuarto menguante
126,mar 15,Mayormente soleado,37,25,2,18,ESE ,18,ESE ,29,32,Extremo,0 de 11,06:30:00,19:49:00,05:40:00,19:52:00,Nueva
127,mie 16,Mayormente soleado,38,25,0,13,ESE ,13,E ,27,27,Extremo,0 de 11,06:31:00,19:48:00,06:37:00,20:21:00,Nueva
128,jue 17,Soleado,39,25,5,12,SE ,15,ENE ,24,29,Extremo,0 de 11,06:31:00,19:47:00,07:33:00,20:49:00,Nueva visible
129,vie 18,Parcialmente nublado,39,25,10,16,ESE ,18,ENE ,25,33,Extremo,0 de 11,06:32:00,19:46:00,08:27:00,21:14:00,Nueva visible
130,sab 19,Parcialmente nublado,37,25,14,15,ESE ,17,ENE ,29,33,Extremo,0 de 11,06:33:00,19:45:00,09:22:00,21:39:00,Nueva visible
131,dom 20,Parcialmente nublado,38,25,12,15,SE ,17,E ,29,34,Extremo,0 de 11,06:33:00,19:44:00,10:16:00,22:05:00,Nueva visible
132,lun 21,Parcialmente nublado,37,25,9,17,ESE ,19,ESE ,29,32,10 de 11,0 de 11,06:34:00,19:43:00,11:12:00,22:32:00,Nueva visible
133,mar 22,Mayormente soleado,37,25,9,17,ESE ,20,E ,28,30,10 de 11,0 de 11,06:34:00,19:41:00,12:11:00,23:03:00,Nueva visible
134,mie 23,Mayormente soleado,37,25,9,18,ESE ,19,E ,27,31,10 de 11,0 de 11,06:35:00,19:40:00,13:13:00,23:40:00,Cuarto creciente
